序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
51,接收,1,2026-04-29 08:50:21.005.531,0.007113,0,错误帧,数据帧,标准帧,CAN,0,
52,接收,1,2026-04-29 08:50:21.037.195,0.031664,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 66 13 f0
53,接收,1,2026-04-29 08:50:21.093.573,0.056378,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 00
54,接收,1,2026-04-29 08:50:21.137.186,0.043613,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 57 13 f0
55,接收,1,2026-04-29 08:50:21.166.393,0.029207,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
56,接收,1,2026-04-29 08:50:21.181.572,0.015179,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 00
57,接收,1,2026-04-29 08:50:21.193.860,0.012288,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
58,接收,1,2026-04-29 08:50:21.237.212,0.043352,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 53 13 f0
59,接收,1,2026-04-29 08:50:21.269.571,0.032359,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 01
60,接收,1,2026-04-29 08:50:21.293.855,0.024284,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
61,接收,1,2026-04-29 08:50:21.337.207,0.043352,731,报文帧,数据帧,标准帧,CAN,1,05
62,接收,1,2026-04-29 08:50:21.337.439,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 50 13 f0
63,接收,1,2026-04-29 08:50:21.357.566,0.020127,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 01
64,接收,1,2026-04-29 08:50:21.393.849,0.036283,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
65,接收,1,2026-04-29 08:50:21.437.209,0.043360,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 56 13 f0
66,接收,1,2026-04-29 08:50:21.445.564,0.008355,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 02
67,接收,1,2026-04-29 08:50:21.533.562,0.087998,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 02
68,接收,1,2026-04-29 08:50:21.537.231,0.003669,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 5f 13 f0
69,接收,1,2026-04-29 08:50:21.566.369,0.029138,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
70,接收,1,2026-04-29 08:50:21.593.835,0.027466,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
71,接收,1,2026-04-29 08:50:21.621.558,0.027723,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 03
72,接收,1,2026-04-29 08:50:21.637.227,0.015669,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 6b 13 f0
73,接收,1,2026-04-29 08:50:21.693.828,0.056601,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
74,接收,1,2026-04-29 08:50:21.709.555,0.015727,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 03
75,接收,1,2026-04-29 08:50:21.737.248,0.027693,1b1,报文帧,数据帧,标准帧,CAN,5,00 00 6b 13 f0
76,接收,1,2026-04-29 08:50:21.793.821,0.056573,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
77,接收,1,2026-04-29 08:50:21.797.553,0.003732,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 03
78,接收,1,2026-04-29 08:50:21.838.258,0.040705,731,报文帧,数据帧,标准帧,CAN,1,05
79,接收,1,2026-04-29 08:50:21.838.490,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 64 13 f0
80,接收,1,2026-04-29 08:50:21.864.067,0.025577,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
81,接收,1,2026-04-29 08:50:21.874.807,0.010740,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
82,接收,1,2026-04-29 08:50:21.885.551,0.010744,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 04
83,接收,1,2026-04-29 08:50:21.886.047,0.000496,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
84,接收,1,2026-04-29 08:50:21.896.807,0.010760,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
85,接收,1,2026-04-29 08:50:21.907.807,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
86,接收,1,2026-04-29 08:50:21.918.807,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
87,接收,1,2026-04-29 08:50:21.929.807,0.011000,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
88,接收,1,2026-04-29 08:50:21.938.263,0.008456,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5f 13 f0
89,接收,1,2026-04-29 08:50:21.940.807,0.002544,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
90,接收,1,2026-04-29 08:50:21.951.808,0.011001,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
91,接收,1,2026-04-29 08:50:21.961.863,0.010055,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
92,接收,1,2026-04-29 08:50:21.962.807,0.000944,a000000,报文帧,数据帧,扩展帧,CAN,2,01 01
93,接收,1,2026-04-29 08:50:21.973.546,0.010739,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 04
94,接收,1,2026-04-29 08:50:21.998.357,0.024811,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
95,接收,1,2026-04-29 08:50:22.038.258,0.039901,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 53 13 f0
96,接收,1,2026-04-29 08:50:22.061.545,0.023287,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 05
97,接收,1,2026-04-29 08:50:22.098.351,0.036806,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
98,接收,1,2026-04-29 08:50:22.138.276,0.039925,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 53 13 f0
99,接收,1,2026-04-29 08:50:22.149.539,0.011263,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 05
100,接收,1,2026-04-29 08:50:22.198.349,0.048810,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
101,接收,1,2026-04-29 08:50:22.237.540,0.039191,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 06
102,接收,1,2026-04-29 08:50:22.238.276,0.000736,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 55 13 f0
103,接收,1,2026-04-29 08:50:22.325.534,0.087258,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 06
104,接收,1,2026-04-29 08:50:22.338.294,0.012760,731,报文帧,数据帧,标准帧,CAN,1,05
105,接收,1,2026-04-29 08:50:22.338.526,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 61 13 f0
106,接收,1,2026-04-29 08:50:22.366.320,0.027794,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
107,接收,1,2026-04-29 08:50:22.393.786,0.027466,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
108,接收,1,2026-04-29 08:50:22.413.533,0.019747,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 07
109,接收,1,2026-04-29 08:50:22.438.302,0.024769,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 67 13 f0
110,接收,1,2026-04-29 08:50:22.498.331,0.060029,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
111,接收,1,2026-04-29 08:50:22.501.530,0.003199,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 07
112,接收,1,2026-04-29 08:50:22.527.799,0.026269,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 26 59 01 00 00
113,接收,1,2026-04-29 08:50:22.528.367,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 04 00 9b 00 02 00
114,接收,1,2026-04-29 08:50:22.528.939,0.000572,18f183a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
115,接收,1,2026-04-29 08:50:22.529.523,0.000584,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
116,接收,1,2026-04-29 08:50:22.530.107,0.000584,18f185a0,报文帧,数据帧,扩展帧,CAN,8,2b 0d 00 00 00 00 00 00
117,接收,1,2026-04-29 08:50:22.530.676,0.000569,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 03 01 01 00 00 00
118,接收,1,2026-04-29 08:50:22.531.244,0.000568,18f187a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
119,接收,1,2026-04-29 08:50:22.531.824,0.000580,18f188a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
120,接收,1,2026-04-29 08:50:22.532.412,0.000588,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
121,接收,1,2026-04-29 08:50:22.532.996,0.000584,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
122,接收,1,2026-04-29 08:50:22.533.577,0.000581,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
123,接收,1,2026-04-29 08:50:22.534.157,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
124,接收,1,2026-04-29 08:50:22.538.297,0.004140,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 6a 13 f0
125,接收,1,2026-04-29 08:50:22.589.527,0.051230,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 07
126,接收,1,2026-04-29 08:50:22.608.946,0.019419,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
127,接收,1,2026-04-29 08:50:22.638.294,0.029348,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 67 13 f0
128,接收,1,2026-04-29 08:50:22.677.525,0.039231,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 08
129,接收,1,2026-04-29 08:50:22.698.317,0.020792,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
130,接收,1,2026-04-29 08:50:22.738.313,0.039996,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5e 13 f0
131,接收,1,2026-04-29 08:50:22.765.520,0.027207,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 08
132,接收,1,2026-04-29 08:50:22.793.763,0.028243,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
133,接收,1,2026-04-29 08:50:22.838.315,0.044552,731,报文帧,数据帧,标准帧,CAN,1,05
134,接收,1,2026-04-29 08:50:22.838.548,0.000233,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5b 13 f0
135,接收,1,2026-04-29 08:50:22.853.519,0.014971,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 09
136,接收,1,2026-04-29 08:50:22.929.031,0.075512,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
137,接收,1,2026-04-29 08:50:22.938.339,0.009308,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 59 13 f0
138,接收,1,2026-04-29 08:50:22.941.515,0.003176,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 09
139,接收,1,2026-04-29 08:50:22.993.752,0.052237,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
140,接收,1,2026-04-29 08:50:23.027.792,0.034040,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 26 59 01 00 00
141,接收,1,2026-04-29 08:50:23.028.360,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 04 00 9b 00 02 00
142,接收,1,2026-04-29 08:50:23.028.932,0.000572,18f183a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
143,接收,1,2026-04-29 08:50:23.029.516,0.000584,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 d8 ff d8 ff 00 00
144,接收,1,2026-04-29 08:50:23.030.080,0.000564,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0a
145,接收,1,2026-04-29 08:50:23.030.585,0.000505,18f185a0,报文帧,数据帧,扩展帧,CAN,8,2b 0d 00 00 00 00 00 00
146,接收,1,2026-04-29 08:50:23.031.153,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 03 01 01 00 5f 19
147,接收,1,2026-04-29 08:50:23.031.709,0.000556,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 02 02 02 02 02
148,接收,1,2026-04-29 08:50:23.032.273,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 02 02
149,接收,1,2026-04-29 08:50:23.032.841,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
150,接收,1,2026-04-29 08:50:23.033.426,0.000585,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
151,接收,1,2026-04-29 08:50:23.034.006,0.000580,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
152,接收,1,2026-04-29 08:50:23.034.586,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 26 59 01 00 00
153,接收,1,2026-04-29 08:50:23.035.071,0.000485,182,报文帧,数据帧,标准帧,CAN,8,01 00 9b 00 04 00 02 00
154,接收,1,2026-04-29 08:50:23.035.559,0.000488,183,报文帧,数据帧,标准帧,CAN,8,00 00 00 ff 00 ff 28 00
155,接收,1,2026-04-29 08:50:23.036.051,0.000492,184,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
156,接收,1,2026-04-29 08:50:23.036.551,0.000500,185,报文帧,数据帧,标准帧,CAN,8,02 01 00 00 00 02 5f 19
157,接收,1,2026-04-29 08:50:23.038.331,0.001780,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5b 13 f0
158,接收,1,2026-04-29 08:50:23.098.291,0.059960,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
159,接收,1,2026-04-29 08:50:23.117.510,0.019219,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0a
160,接收,1,2026-04-29 08:50:23.138.355,0.020845,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5f 13 f0
161,接收,1,2026-04-29 08:50:23.205.505,0.067150,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0a
162,接收,1,2026-04-29 08:50:23.238.350,0.032845,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 67 13 f0
163,接收,1,2026-04-29 08:50:23.248.910,0.010560,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
164,接收,1,2026-04-29 08:50:23.293.504,0.044594,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0b
165,接收,1,2026-04-29 08:50:23.298.281,0.004777,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
166,接收,1,2026-04-29 08:50:23.338.345,0.040064,731,报文帧,数据帧,标准帧,CAN,1,05
167,接收,1,2026-04-29 08:50:23.338.577,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 67 13 f0
168,接收,1,2026-04-29 08:50:23.381.500,0.042923,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0b
169,接收,1,2026-04-29 08:50:23.408.795,0.027295,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
170,接收,1,2026-04-29 08:50:23.438.375,0.029580,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 64 13 f0
171,接收,1,2026-04-29 08:50:23.469.498,0.031123,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0c
172,接收,1,2026-04-29 08:50:23.498.268,0.028770,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
173,接收,1,2026-04-29 08:50:23.527.784,0.029516,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 26 59 01 00 00
174,接收,1,2026-04-29 08:50:23.528.352,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,00 00 04 00 9b 00 02 00
175,接收,1,2026-04-29 08:50:23.528.921,0.000569,18f183a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
176,接收,1,2026-04-29 08:50:23.529.505,0.000584,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 20 00 24 00 00 00
177,接收,1,2026-04-29 08:50:23.530.085,0.000580,18f185a0,报文帧,数据帧,扩展帧,CAN,8,2b 0d 00 00 00 00 00 00
178,接收,1,2026-04-29 08:50:23.530.654,0.000569,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 03 01 01 00 5f 19
179,接收,1,2026-04-29 08:50:23.531.210,0.000556,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 02 02 02 02 02
180,接收,1,2026-04-29 08:50:23.531.774,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 02 02
181,接收,1,2026-04-29 08:50:23.532.343,0.000569,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
182,接收,1,2026-04-29 08:50:23.532.927,0.000584,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
183,接收,1,2026-04-29 08:50:23.533.507,0.000580,18f196a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
184,接收,1,2026-04-29 08:50:23.534.087,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
185,接收,1,2026-04-29 08:50:23.538.375,0.004288,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 62 13 f0
186,接收,1,2026-04-29 08:50:23.557.494,0.019119,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0c
187,接收,1,2026-04-29 08:50:23.593.713,0.036219,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
188,接收,1,2026-04-29 08:50:23.638.369,0.044656,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5c 13 f0
189,接收,1,2026-04-29 08:50:23.645.493,0.007124,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0d
190,接收,1,2026-04-29 08:50:23.729.089,0.083596,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
191,接收,1,2026-04-29 08:50:23.733.488,0.004399,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0d
192,接收,1,2026-04-29 08:50:23.738.385,0.004897,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5c 13 f0
193,接收,1,2026-04-29 08:50:23.793.701,0.055316,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
194,接收,1,2026-04-29 08:50:23.821.484,0.027783,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0e
195,接收,1,2026-04-29 08:50:23.838.397,0.016913,731,报文帧,数据帧,标准帧,CAN,1,05
196,接收,1,2026-04-29 08:50:23.838.629,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 5c 13 f0
197,接收,1,2026-04-29 08:50:23.898.245,0.059616,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
198,接收,1,2026-04-29 08:50:23.909.484,0.011239,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0e
199,接收,1,2026-04-29 08:50:23.938.398,0.028914,1b1,报文帧,数据帧,标准帧,CAN,5,f8 26 62 13 f0
200,接收,1,2026-04-29 08:50:23.997.479,0.059081,2,报文帧,数据帧,标准帧,CAN,8,00 03 00 00 00 00 80 0e
201,接收,1,2026-04-29 08:50:24.027.776,0.030297,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 26 59 01 00 00
202,接收,1,2026-04-29 08:50:24.028.344,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,00 00 04 00 9b 00 02 00
203,接收,1,2026-04-29 08:50:24.028.912,0.000568,18f183a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
204,接收,1,2026-04-29 08:50:24.029.497,0.000585,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 20 00 24 00 00 00
205,接收,1,2026-04-29 08:50:24.030.077,0.000580,18f185a0,报文帧,数据帧,扩展帧,CAN,8,2b 0d 00 00 00 00 00 00
206,接收,1,2026-04-29 08:50:24.030.645,0.000568,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 03 01 01 00 5f 19
207,接收,1,2026-04-29 08:50:24.031.201,0.000556,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 02 02 02 02 02
208,接收,1,2026-04-29 08:50:24.031.766,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 02 02
209,接收,1,2026-04-29 08:50:24.032.334,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
