序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
70,接收,1,2026-04-24 15:39:33.427.370,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 02 15 00
71,接收,1,2026-04-24 15:39:33.427.939,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
72,接收,1,2026-04-24 15:39:33.428.519,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
73,接收,1,2026-04-24 15:39:33.454.705,0.026186,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2b
74,接收,1,2026-04-24 15:39:33.455.202,0.000497,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 54 12 f0
75,接收,1,2026-04-24 15:39:33.494.540,0.039338,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
76,接收,1,2026-04-24 15:39:33.542.702,0.048162,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2b
77,接收,1,2026-04-24 15:39:33.555.098,0.012396,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 53 12 f0
78,接收,1,2026-04-24 15:39:33.594.532,0.039434,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
79,接收,1,2026-04-24 15:39:33.630.698,0.036166,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2c
80,接收,1,2026-04-24 15:39:33.655.087,0.024389,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
81,接收,1,2026-04-24 15:39:33.718.697,0.063610,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2c
82,接收,1,2026-04-24 15:39:33.755.101,0.036404,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
83,接收,1,2026-04-24 15:39:33.762.505,0.007404,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
84,接收,1,2026-04-24 15:39:33.789.972,0.027467,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
85,接收,1,2026-04-24 15:39:33.806.695,0.016723,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2c
86,接收,1,2026-04-24 15:39:33.855.116,0.048421,731,报文帧,数据帧,标准帧,CAN,1,05
87,接收,1,2026-04-24 15:39:33.855.347,0.000231,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
88,接收,1,2026-04-24 15:39:33.894.513,0.039166,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
89,接收,1,2026-04-24 15:39:33.895.013,0.000500,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2d
90,接收,1,2026-04-24 15:39:33.922.841,0.027828,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 57 19 00 00
91,接收,1,2026-04-24 15:39:33.923.406,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a0 00 80 00
92,接收,1,2026-04-24 15:39:33.923.982,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 21 03 6c 01
93,接收,1,2026-04-24 15:39:33.924.539,0.000557,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2f 00
94,接收,1,2026-04-24 15:39:33.925.107,0.000568,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 30 2a 00 00
95,接收,1,2026-04-24 15:39:33.925.667,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
96,接收,1,2026-04-24 15:39:33.926.228,0.000561,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
97,接收,1,2026-04-24 15:39:33.926.792,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
98,接收,1,2026-04-24 15:39:33.927.360,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 02 15 00
99,接收,1,2026-04-24 15:39:33.927.929,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
100,接收,1,2026-04-24 15:39:33.928.509,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 29 57 19 00 00
101,接收,1,2026-04-24 15:39:33.928.989,0.000480,182,报文帧,数据帧,标准帧,CAN,8,01 00 a0 00 1a 00 80 00
102,接收,1,2026-04-24 15:39:33.929.481,0.000492,183,报文帧,数据帧,标准帧,CAN,8,00 00 4a 00 47 00 57 00
103,接收,1,2026-04-24 15:39:33.929.961,0.000480,184,报文帧,数据帧,标准帧,CAN,8,19 00 21 03 6c 01 00 00
104,接收,1,2026-04-24 15:39:33.930.442,0.000481,185,报文帧,数据帧,标准帧,CAN,8,02 02 00 00 00 02 5f 19
105,接收,1,2026-04-24 15:39:33.930.926,0.000484,186,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 03 00 00 00
106,接收,1,2026-04-24 15:39:33.955.114,0.024188,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
107,接收,1,2026-04-24 15:39:33.982.689,0.027575,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2d
108,接收,1,2026-04-24 15:39:33.989.961,0.007272,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
109,接收,1,2026-04-24 15:39:34.055.121,0.065160,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
110,接收,1,2026-04-24 15:39:34.070.685,0.015564,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2e
111,接收,1,2026-04-24 15:39:34.155.138,0.084453,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 51 12 f0
112,接收,1,2026-04-24 15:39:34.158.002,0.002864,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
113,接收,1,2026-04-24 15:39:34.158.682,0.000680,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2e
114,接收,1,2026-04-24 15:39:34.189.948,0.031266,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
115,接收,1,2026-04-24 15:39:34.246.678,0.056730,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2f
116,接收,1,2026-04-24 15:39:34.255.147,0.008469,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 52 12 f0
117,接收,1,2026-04-24 15:39:34.289.941,0.034794,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
118,接收,1,2026-04-24 15:39:34.334.676,0.044735,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2f
119,接收,1,2026-04-24 15:39:34.355.140,0.020464,731,报文帧,数据帧,标准帧,CAN,1,05
120,接收,1,2026-04-24 15:39:34.355.372,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
121,接收,1,2026-04-24 15:39:34.394.482,0.039110,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
122,接收,1,2026-04-24 15:39:34.422.673,0.028191,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 2f
123,接收,1,2026-04-24 15:39:34.423.166,0.000493,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 57 19 00 00
124,接收,1,2026-04-24 15:39:34.423.730,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a0 00 80 00
125,接收,1,2026-04-24 15:39:34.424.306,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 20 03 6c 01
126,接收,1,2026-04-24 15:39:34.424.866,0.000560,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2f 00
127,接收,1,2026-04-24 15:39:34.425.434,0.000568,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 30 2a 00 00
128,接收,1,2026-04-24 15:39:34.425.994,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
129,接收,1,2026-04-24 15:39:34.426.554,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
130,接收,1,2026-04-24 15:39:34.427.119,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
131,接收,1,2026-04-24 15:39:34.427.687,0.000568,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 02 15 00
132,接收,1,2026-04-24 15:39:34.428.255,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
133,接收,1,2026-04-24 15:39:34.428.835,0.000580,11d,报文帧,数据帧,标准帧,CAN,8,01 03 00 00 00 01 84 0a
134,接收,1,2026-04-24 15:39:34.455.155,0.026320,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
135,接收,1,2026-04-24 15:39:34.510.669,0.055514,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 30
136,接收,1,2026-04-24 15:39:34.555.166,0.044497,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
137,接收,1,2026-04-24 15:39:34.562.454,0.007288,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
138,接收,1,2026-04-24 15:39:34.594.472,0.032018,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
139,接收,1,2026-04-24 15:39:34.598.668,0.004196,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 30
140,接收,1,2026-04-24 15:39:34.655.165,0.056497,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
141,接收,1,2026-04-24 15:39:34.686.664,0.031499,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 31
142,接收,1,2026-04-24 15:39:34.694.464,0.007800,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
143,接收,1,2026-04-24 15:39:34.755.181,0.060717,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
144,接收,1,2026-04-24 15:39:34.774.663,0.019482,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 31
145,接收,1,2026-04-24 15:39:34.794.459,0.019796,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
146,接收,1,2026-04-24 15:39:34.855.199,0.060740,731,报文帧,数据帧,标准帧,CAN,1,05
147,接收,1,2026-04-24 15:39:34.855.432,0.000233,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4d 12 f0
148,接收,1,2026-04-24 15:39:34.862.659,0.007227,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 32
149,接收,1,2026-04-24 15:39:34.922.827,0.060168,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 57 19 00 00
150,接收,1,2026-04-24 15:39:34.923.392,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a0 00 80 00
151,接收,1,2026-04-24 15:39:34.923.968,0.000576,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 1f 03 6c 01
152,接收,1,2026-04-24 15:39:34.924.528,0.000560,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2f 00
153,接收,1,2026-04-24 15:39:34.925.096,0.000568,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 30 2a 00 00
154,接收,1,2026-04-24 15:39:34.925.656,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 02 01 01 01 00 5f 19
155,接收,1,2026-04-24 15:39:34.926.216,0.000560,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
156,接收,1,2026-04-24 15:39:34.926.780,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
157,接收,1,2026-04-24 15:39:34.927.349,0.000569,18f189a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 02 15 00
158,接收,1,2026-04-24 15:39:34.927.917,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,00 00 00 00 00 00 00 00
159,接收,1,2026-04-24 15:39:34.928.497,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 29 57 19 00 00
160,接收,1,2026-04-24 15:39:34.928.977,0.000480,182,报文帧,数据帧,标准帧,CAN,8,01 00 a0 00 1a 00 80 00
161,接收,1,2026-04-24 15:39:34.929.469,0.000492,183,报文帧,数据帧,标准帧,CAN,8,00 00 4a 00 47 00 57 00
162,接收,1,2026-04-24 15:39:34.929.950,0.000481,184,报文帧,数据帧,标准帧,CAN,8,19 00 1f 03 6c 01 00 00
163,接收,1,2026-04-24 15:39:34.930.438,0.000488,185,报文帧,数据帧,标准帧,CAN,8,02 02 00 00 00 02 5f 19
164,接收,1,2026-04-24 15:39:34.930.922,0.000484,186,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 03 00 00 00
165,接收,1,2026-04-24 15:39:34.950.657,0.019735,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 32
166,接收,1,2026-04-24 15:39:34.955.194,0.004537,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4f 12 f0
167,接收,1,2026-04-24 15:39:34.962.462,0.007268,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
168,接收,1,2026-04-24 15:39:34.989.896,0.027434,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
