序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
47,接收,1,2026-05-05 14:58:14.892.049,0.011055,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
48,接收,1,2026-05-05 14:58:14.976.100,0.084051,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
49,接收,1,2026-05-05 14:58:15.023.778,0.047678,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
50,接收,1,2026-05-05 14:58:15.066.953,0.043175,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
51,接收,1,2026-05-05 14:58:15.096.584,0.029631,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
52,接收,1,2026-05-05 14:58:15.162.067,0.065483,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
53,接收,1,2026-05-05 14:58:15.196.581,0.034514,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
54,接收,1,2026-05-05 14:58:15.257.205,0.060624,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
55,接收,1,2026-05-05 14:58:15.343.761,0.086556,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
56,接收,1,2026-05-05 14:58:15.347.964,0.004203,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
57,接收,1,2026-05-05 14:58:15.364.153,0.016189,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 18 00 00
58,接收,1,2026-05-05 14:58:15.364.722,0.000569,18f182a0,报文帧,数据帧,扩展帧,CAN,8,03 00 1b 00 95 00 7b 00
59,接收,1,2026-05-05 14:58:15.365.278,0.000556,18f183a0,报文帧,数据帧,扩展帧,CAN,8,37 0b 00 00 1f 03 20 01
60,接收,1,2026-05-05 14:58:15.365.843,0.000565,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
61,接收,1,2026-05-05 14:58:15.366.416,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 1f 89 00 00
62,接收,1,2026-05-05 14:58:15.366.980,0.000564,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
63,接收,1,2026-05-05 14:58:15.367.537,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
64,接收,1,2026-05-05 14:58:15.368.102,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
65,接收,1,2026-05-05 14:58:15.368.670,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
66,接收,1,2026-05-05 14:58:15.369.251,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 18 00 00
67,接收,1,2026-05-05 14:58:15.369.739,0.000488,182,报文帧,数据帧,标准帧,CAN,8,03 00 95 00 1b 00 7b 00
68,接收,1,2026-05-05 14:58:15.370.212,0.000473,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
69,接收,1,2026-05-05 14:58:15.370.701,0.000489,184,报文帧,数据帧,标准帧,CAN,8,37 0b 1f 03 20 01 d2 00
70,接收,1,2026-05-05 14:58:15.371.181,0.000480,185,报文帧,数据帧,标准帧,CAN,8,37 0b 00 00 00 02 36 36
71,接收,1,2026-05-05 14:58:15.371.658,0.000477,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 1f 89 00 00
72,接收,1,2026-05-05 14:58:15.372.135,0.000477,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
73,接收,1,2026-05-05 14:58:15.396.569,0.024434,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
74,接收,1,2026-05-05 14:58:15.443.140,0.046571,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
75,接收,1,2026-05-05 14:58:15.503.753,0.060613,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
76,接收,1,2026-05-05 14:58:15.538.270,0.034517,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
77,接收,1,2026-05-05 14:58:15.592.011,0.053741,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
78,接收,1,2026-05-05 14:58:15.629.016,0.037005,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
79,接收,1,2026-05-05 14:58:15.696.552,0.067536,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
80,接收,1,2026-05-05 14:58:15.724.019,0.027467,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
81,接收,1,2026-05-05 14:58:15.814.865,0.090846,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
82,接收,1,2026-05-05 14:58:15.823.732,0.008867,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
83,接收,1,2026-05-05 14:58:15.864.141,0.040409,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 17 00 00
84,接收,1,2026-05-05 14:58:15.864.705,0.000564,18f182a0,报文帧,数据帧,扩展帧,CAN,8,02 00 1a 00 94 00 7b 00
85,接收,1,2026-05-05 14:58:15.865.270,0.000565,18f183a0,报文帧,数据帧,扩展帧,CAN,8,38 0b 00 00 1c 03 24 01
86,接收,1,2026-05-05 14:58:15.865.834,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
87,接收,1,2026-05-05 14:58:15.866.407,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 20 89 00 00
88,接收,1,2026-05-05 14:58:15.866.967,0.000560,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
89,接收,1,2026-05-05 14:58:15.867.524,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
90,接收,1,2026-05-05 14:58:15.868.089,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
91,接收,1,2026-05-05 14:58:15.868.657,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
92,接收,1,2026-05-05 14:58:15.869.238,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 17 00 00
93,接收,1,2026-05-05 14:58:15.869.719,0.000481,182,报文帧,数据帧,标准帧,CAN,8,02 00 94 00 1a 00 7b 00
94,接收,1,2026-05-05 14:58:15.870.203,0.000484,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
95,接收,1,2026-05-05 14:58:15.870.692,0.000489,184,报文帧,数据帧,标准帧,CAN,8,38 0b 1c 03 24 01 d2 00
96,接收,1,2026-05-05 14:58:15.871.165,0.000473,185,报文帧,数据帧,标准帧,CAN,8,38 0b 00 00 00 02 36 36
97,接收,1,2026-05-05 14:58:15.871.641,0.000476,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 20 89 00 00
98,接收,1,2026-05-05 14:58:15.872.118,0.000477,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
99,接收,1,2026-05-05 14:58:15.896.540,0.024422,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
100,接收,1,2026-05-05 14:58:15.910.098,0.013558,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
101,接收,1,2026-05-05 14:58:15.996.538,0.086440,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
102,接收,1,2026-05-05 14:58:16.005.144,0.008606,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
103,接收,1,2026-05-05 14:58:16.095.946,0.090802,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
104,接收,1,2026-05-05 14:58:16.143.716,0.047770,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
105,接收,1,2026-05-05 14:58:16.191.126,0.047410,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
106,接收,1,2026-05-05 14:58:16.196.526,0.005400,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
107,接收,1,2026-05-05 14:58:16.286.272,0.089746,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
108,接收,1,2026-05-05 14:58:16.303.707,0.017435,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
109,接收,1,2026-05-05 14:58:16.364.131,0.060424,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 17 00 00
110,接收,1,2026-05-05 14:58:16.364.696,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,03 00 1b 00 94 00 7b 00
111,接收,1,2026-05-05 14:58:16.365.256,0.000560,18f183a0,报文帧,数据帧,扩展帧,CAN,8,38 0b 00 00 1c 03 24 01
112,接收,1,2026-05-05 14:58:16.365.821,0.000565,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
113,接收,1,2026-05-05 14:58:16.366.393,0.000572,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 20 89 00 00
114,接收,1,2026-05-05 14:58:16.366.954,0.000561,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
115,接收,1,2026-05-05 14:58:16.367.511,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
116,接收,1,2026-05-05 14:58:16.368.075,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
117,接收,1,2026-05-05 14:58:16.368.644,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
118,接收,1,2026-05-05 14:58:16.369.224,0.000580,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 17 00 00
119,接收,1,2026-05-05 14:58:16.369.705,0.000481,182,报文帧,数据帧,标准帧,CAN,8,03 00 94 00 1b 00 7b 00
120,接收,1,2026-05-05 14:58:16.370.178,0.000473,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
121,接收,1,2026-05-05 14:58:16.370.666,0.000488,184,报文帧,数据帧,标准帧,CAN,8,38 0b 1c 03 24 01 d2 00
122,接收,1,2026-05-05 14:58:16.371.139,0.000473,185,报文帧,数据帧,标准帧,CAN,8,38 0b 00 00 00 02 36 36
123,接收,1,2026-05-05 14:58:16.371.616,0.000477,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 20 89 00 00
124,接收,1,2026-05-05 14:58:16.372.092,0.000476,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
125,接收,1,2026-05-05 14:58:16.377.087,0.004995,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
126,接收,1,2026-05-05 14:58:16.391.967,0.014880,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
127,接收,1,2026-05-05 14:58:16.472.379,0.080412,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
128,接收,1,2026-05-05 14:58:16.496.510,0.024131,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
129,接收,1,2026-05-05 14:58:16.563.052,0.066542,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
130,接收,1,2026-05-05 14:58:16.623.689,0.060637,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
131,接收,1,2026-05-05 14:58:16.658.238,0.034549,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
132,接收,1,2026-05-05 14:58:16.691.952,0.033714,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
133,接收,1,2026-05-05 14:58:16.753.392,0.061440,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
134,接收,1,2026-05-05 14:58:16.796.494,0.043102,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
135,接收,1,2026-05-05 14:58:16.844.033,0.047539,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
136,接收,1,2026-05-05 14:58:16.864.122,0.020089,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 18 00 00
137,接收,1,2026-05-05 14:58:16.864.690,0.000568,18f182a0,报文帧,数据帧,扩展帧,CAN,8,03 00 1b 00 94 00 7b 00
138,接收,1,2026-05-05 14:58:16.865.251,0.000561,18f183a0,报文帧,数据帧,扩展帧,CAN,8,36 0b 00 00 1e 03 20 01
139,接收,1,2026-05-05 14:58:16.865.815,0.000564,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
140,接收,1,2026-05-05 14:58:16.866.388,0.000573,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 21 89 00 00
141,接收,1,2026-05-05 14:58:16.866.944,0.000556,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
142,接收,1,2026-05-05 14:58:16.867.501,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
143,接收,1,2026-05-05 14:58:16.868.066,0.000565,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
144,接收,1,2026-05-05 14:58:16.868.634,0.000568,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
145,接收,1,2026-05-05 14:58:16.869.215,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 18 00 00
146,接收,1,2026-05-05 14:58:16.869.704,0.000489,182,报文帧,数据帧,标准帧,CAN,8,03 00 94 00 1b 00 7b 00
147,接收,1,2026-05-05 14:58:16.870.176,0.000472,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
148,接收,1,2026-05-05 14:58:16.870.665,0.000489,184,报文帧,数据帧,标准帧,CAN,8,36 0b 1e 03 20 01 d2 00
149,接收,1,2026-05-05 14:58:16.871.138,0.000473,185,报文帧,数据帧,标准帧,CAN,8,36 0b 00 00 00 02 36 36
150,接收,1,2026-05-05 14:58:16.871.614,0.000476,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 21 89 00 00
151,接收,1,2026-05-05 14:58:16.872.091,0.000477,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
152,接收,1,2026-05-05 14:58:16.939.145,0.067054,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
153,接收,1,2026-05-05 14:58:16.943.674,0.004529,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
154,接收,1,2026-05-05 14:58:16.996.483,0.052809,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
155,接收,1,2026-05-05 14:58:17.034.451,0.037968,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
156,接收,1,2026-05-05 14:58:17.103.664,0.069213,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
157,接收,1,2026-05-05 14:58:17.125.215,0.021551,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
158,接收,1,2026-05-05 14:58:17.191.924,0.066709,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
159,接收,1,2026-05-05 14:58:17.220.399,0.028475,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
160,接收,1,2026-05-05 14:58:17.296.467,0.076068,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
161,接收,1,2026-05-05 14:58:17.311.236,0.014769,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
162,接收,1,2026-05-05 14:58:17.364.112,0.052876,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 17 00 00
163,接收,1,2026-05-05 14:58:17.364.677,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,02 00 1a 00 94 00 7b 00
164,接收,1,2026-05-05 14:58:17.365.241,0.000564,18f183a0,报文帧,数据帧,扩展帧,CAN,8,36 0b 00 00 1f 03 20 01
165,接收,1,2026-05-05 14:58:17.365.814,0.000573,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
166,接收,1,2026-05-05 14:58:17.366.386,0.000572,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 21 89 00 00
167,接收,1,2026-05-05 14:58:17.366.943,0.000557,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
168,接收,1,2026-05-05 14:58:17.367.500,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
169,接收,1,2026-05-05 14:58:17.368.064,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
170,接收,1,2026-05-05 14:58:17.368.633,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
171,接收,1,2026-05-05 14:58:17.369.214,0.000581,181,报文帧,数据帧,标准帧,CAN,8,00 01 00 28 51 17 00 00
172,接收,1,2026-05-05 14:58:17.369.694,0.000480,182,报文帧,数据帧,标准帧,CAN,8,02 00 94 00 1a 00 7b 00
173,接收,1,2026-05-05 14:58:17.370.179,0.000485,183,报文帧,数据帧,标准帧,CAN,8,00 00 5c 00 59 00 64 00
174,接收,1,2026-05-05 14:58:17.370.667,0.000488,184,报文帧,数据帧,标准帧,CAN,8,36 0b 1f 03 20 01 d2 00
175,接收,1,2026-05-05 14:58:17.371.144,0.000477,185,报文帧,数据帧,标准帧,CAN,8,36 0b 00 00 00 02 36 36
176,接收,1,2026-05-05 14:58:17.371.621,0.000477,186,报文帧,数据帧,标准帧,CAN,8,b0 15 00 00 21 89 00 00
177,接收,1,2026-05-05 14:58:17.372.097,0.000476,191,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
178,接收,1,2026-05-05 14:58:17.406.455,0.034358,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
179,接收,1,2026-05-05 14:58:17.423.646,0.017191,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
180,接收,1,2026-05-05 14:58:17.496.458,0.072812,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
181,接收,1,2026-05-05 14:58:17.501.717,0.005259,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
182,接收,1,2026-05-05 14:58:17.592.463,0.090746,11,报文帧,数据帧,标准帧,CAN,8,f6 80 00 00 00 00 00 00
183,接收,1,2026-05-05 14:58:17.596.450,0.003987,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
184,接收,1,2026-05-05 14:58:17.687.592,0.091142,12,报文帧,数据帧,标准帧,CAN,4,00 03 00 00
185,接收,1,2026-05-05 14:58:17.743.629,0.056037,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
186,接收,1,2026-05-05 14:58:17.782.801,0.039172,10,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
187,接收,1,2026-05-05 14:58:17.796.441,0.013640,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
188,接收,1,2026-05-05 14:58:17.864.105,0.067664,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 28 51 18 00 00
189,接收,1,2026-05-05 14:58:17.864.674,0.000569,18f182a0,报文帧,数据帧,扩展帧,CAN,8,03 00 1b 00 94 00 7b 00
190,接收,1,2026-05-05 14:58:17.865.234,0.000560,18f183a0,报文帧,数据帧,扩展帧,CAN,8,35 0b 00 00 20 03 24 01
191,接收,1,2026-05-05 14:58:17.865.799,0.000565,18f184a0,报文帧,数据帧,扩展帧,CAN,8,d2 00 34 00 31 00 3c 00
192,接收,1,2026-05-05 14:58:17.866.371,0.000572,18f185a0,报文帧,数据帧,扩展帧,CAN,8,b0 15 00 00 22 89 00 00
193,接收,1,2026-05-05 14:58:17.866.928,0.000557,18f186a0,报文帧,数据帧,扩展帧,CAN,8,02 01 01 01 01 00 36 36
194,接收,1,2026-05-05 14:58:17.867.485,0.000557,18f187a0,报文帧,数据帧,扩展帧,CAN,8,02 02 02 01 02 02 02 02
195,接收,1,2026-05-05 14:58:17.868.049,0.000564,18f188a0,报文帧,数据帧,扩展帧,CAN,8,02 02 00 00 00 02 01 02
196,接收,1,2026-05-05 14:58:17.868.618,0.000569,18f190a0,报文帧,数据帧,扩展帧,CAN,8,02 00 00 00 00 00 00 00
